raki1,75.0,September 30, 2020 16:51:18
raki2,100.0,September 30, 2020 16:52:31
raki3,0.0,September 30, 2020 17:13:51
admin-def,0.0,September 30, 2020 17:17:21
Raki5,0.0,September 30, 2020 19:37:01
raki6,0.0,September 30, 2020 19:38:39
raki6,0.0,September 30, 2020 19:40:47
raki7,125.0,September 30, 2020 19:42:08
raki8,83.33333333333334,September 30, 2020 20:08:02
raki9,83.33333333333334,September 30, 2020 20:08:51
raki9,83.33333333333334,September 30, 2020 20:09:14
raki10,50.0,September 30, 2020 20:11:28
raki0,60.0,September 30, 2020 20:13:03
raki,40.0,September 30, 2020 20:30:09
